bc_id,bc_type,bc_modif1,bc_modif2,bc_temp,bc_time,bc_rate,bc_oc,bc_ssa,bc_idig,bc_co,bc_loading,oxi_mw,oxi_srp,oxi_bde,oxi_pka,oxi_loading,op_id,op_mw,op_kow,op_pka,op_conc,ph,k
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.2,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.401209493
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.0761,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.536107011
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.3044,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.402304814
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.4566,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.400116928
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.369184,3.5,1.35261703
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,4.44222,3.5,1.581698709
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,5.92296,3.5,1.785156152
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,7.4037,3.5,1.860120914
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,2.45,1.191114133
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,4,1.193820026
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,6.96,1.207608311
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,9.27,1.373659633
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,10.99,1.665546249
walnut shell flour,Plant,Pristine,Pristine,600,3,5,0.088662132,96.17,1.26,1.251666667,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.397940009
walnut shell flour,Plant,Pristine,Pristine,800,3,5,0.04824,192.56,1.37,6.3,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.356547324
walnut shell flour,Plant,Pristine,Pristine,900,3,5,0.028028933,262.73,1.47,4.55,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.337242168
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.301029996
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.01,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.568636236
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.03,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.161150909
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.1,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.829738285
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.0761,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.113509275
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.3044,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.853871964
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.4566,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.850780887
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.369184,3.5,1.978810701
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,4.44222,3.5,2.045757491
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,5.92296,3.5,2.096910013
