bc_id,bc_type,bc_modif1,bc_modif2,bc_temp,bc_time,bc_rate,bc_oc,bc_ssa,bc_idig,bc_co,bc_loading,oxi_mw,oxi_srp,oxi_bde,oxi_pka,oxi_loading,op_mw,op_kow,op_pka,op_conc,ph,k
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,9.27,0.0423
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,10.99,0.0216
walnut shell flour,Plant,Pristine,Pristine,600,3,5,0.088662132,96.17,1.26,1.251666667,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.004
walnut shell flour,Plant,Pristine,Pristine,800,3,5,0.04824,192.56,1.37,6.3,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0044
walnut shell flour,Plant,Pristine,Pristine,900,3,5,0.028028933,262.73,1.47,4.55,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0046
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.005
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.01,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0027
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.03,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0069
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.1,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0148
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.0761,296.148,4.02,4.15,2.96148,3.5,0.0077
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.3044,296.148,4.02,4.15,2.96148,3.5,0.014
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.4566,296.148,4.02,4.15,2.96148,3.5,0.0141
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.369184,3.5,0.0105
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,4.44222,3.5,0.009
